MOVEMENT_ID,mean_coordinate
372,[-118.23815423   34.14264945]
373,[-118.23245326   34.14669106]
374,[-118.24905075   34.1446301 ]
375,[-118.24895015   34.14108379]
376,[-118.26247708   34.14481274]
377,[-118.262027     34.14040019]
378,[-118.25898948   34.13027146]
379,[-118.2488876    34.13802263]
380,[-118.24956954   34.13486892]
381,[-118.25318769   34.12750386]
382,[-118.24626322   34.13025084]
383,[-118.23864556   34.26111578]
384,[-117.82467288   34.13885138]
385,[-117.82810402   34.1499674 ]
386,[-117.87323782   34.15698469]
387,[-117.87947022   34.16166049]
388,[-117.88644509   34.14146265]
389,[-117.87712184   34.13733949]
390,[-117.85454409   34.14212079]
391,[-117.86600526   34.14170464]
392,[-117.85668565   34.12480654]
393,[-117.86688824   34.13122395]
394,[-117.83602375   34.12434187]
395,[-117.83331136   34.11532583]
396,[-117.85748313   34.11294545]
397,[-117.87259067   34.12120431]
398,[-117.87189839   34.11193207]
399,[-117.88192873   34.10701236]
400,[-118.07715032   33.83406377]
401,[-118.06722602   33.8333267 ]
402,[-118.07755974   33.82790766]
403,[-118.06693071   33.82659366]
404,[-118.33144634   33.92541172]
405,[-118.35973512   33.93234158]
406,[-118.34923838   33.93280455]
407,[-118.33976702   33.92776365]
408,[-118.3571076    33.92764216]
409,[-118.34736896   33.92900002]
410,[-118.34709907   33.92018457]
411,[-118.35873412   33.92045423]
412,[-118.36585774   33.92776102]
413,[-118.36633548   33.90358991]
414,[-118.37393229   33.90573129]
415,[-118.35796652   33.90859512]
416,[-118.34766031   33.91368991]
417,[-118.34848389   33.90473239]
418,[-118.33719135   33.90464092]
419,[-118.34230424   33.90518694]
420,[-118.32909722   33.90727519]
421,[-118.32999826   33.90340626]
422,[-118.34061563   33.91352382]
423,[-118.33481713   33.9198269 ]
424,[-118.32056354   33.92204604]
425,[-118.34337762   33.89394785]
426,[-118.34100998   33.89834528]
427,[-118.33121485   33.90003751]
428,[-118.36799241   33.89611855]
429,[-118.39275019   33.86893654]
430,[-118.40540964   33.87048546]
431,[-118.40144004   33.86863104]
432,[-118.38864806   33.86098287]
433,[-118.39806713   33.85850358]
434,[-118.65489982   34.15918812]
435,[-118.22158473   33.99071486]
436,[-118.23387115   33.98507806]
437,[-118.22898664   33.98374568]
438,[-118.22482717   33.98345793]
439,[-118.22089959   33.98248581]
440,[-118.23777483   33.98501738]
441,[-118.2362856    33.97771228]
442,[-118.23195906   33.9775516 ]
443,[-118.22426074   33.97671916]
444,[-118.21638926   33.98254978]
445,[-118.21664846   33.9790122 ]
446,[-118.2154226    33.97436889]
447,[-118.20808716   33.98220595]
448,[-118.20871327   33.97794507]
449,[-118.20700069   33.97465208]
450,[-118.20089513   33.98628645]
451,[-118.19451017   33.98522552]
452,[-118.190518     33.98513294]
453,[-118.20724587   33.96758759]
454,[-118.1999428    33.96679709]
455,[-117.85569039   34.00739572]
456,[-117.83443241   34.01461976]
457,[-117.9856075    34.06277838]
458,[-117.98551295   34.06180248]
459,[-117.99472595   34.05551724]
460,[-117.940085    34.0344212]
461,[-117.93217161   34.0267175 ]
462,[-117.92185528   34.01498936]
463,[-117.90876114   34.00664343]
464,[-117.96422843   34.02042817]
465,[-117.91463932   34.00165302]
466,[-117.87726089   33.9994237 ]
467,[-118.00828222   34.05232796]
468,[-118.01409993   34.04289581]
469,[-118.00805433   34.03134019]
470,[-117.97529843   34.01604843]
471,[-118.01730269   34.02852968]
472,[-117.96112245   34.01439327]
473,[-118.00902458   34.06193513]
474,[-118.01241805   34.04898813]
475,[-118.04666933   34.01970259]
476,[-118.32046791   33.93530206]
477,[-118.33112287   33.92767924]
478,[-118.32062532   33.94180096]
479,[-118.33207641   33.94196152]
480,[-118.33323478   33.95078501]
481,[-118.33758338   33.95807887]
482,[-118.32374868   33.95587623]
483,[-118.32368533   33.96409862]
484,[-118.3353207    33.96626187]
485,[-118.35235937   33.97119898]
486,[-118.35291042   33.97800602]
487,[-118.34171966   33.97479344]
488,[-118.34972786   33.96374558]
489,[-118.34822667   33.95712807]
490,[-118.34808815   33.94938382]
491,[-118.35771018   33.94935451]
492,[-118.35628967   33.96319348]
493,[-118.35596263   33.95581737]
494,[-118.36315497   33.97915733]
495,[-118.36312744   33.96866191]
496,[-118.36153326   33.97346611]
497,[-118.37008517   33.9595398 ]
498,[-118.36548584   33.95151447]
499,[-118.36524679   33.94410826]
500,[-118.3450358    33.93371127]
501,[-118.3503605    33.94391212]
502,[-118.34432885   33.9402069 ]
503,[-118.33901415   33.94161794]
504,[-118.33942426   33.93383069]
505,[-118.33144266   33.93371407]
506,[-118.3439732   33.9308618]
507,[-118.31921709   33.93080291]
508,[-118.3741826    33.98155405]
509,[-117.96512858   34.10922314]
510,[-117.93797462   34.09222537]
511,[-118.227015     34.23005188]
512,[-118.22744217   34.22804517]
513,[-118.2310955    34.21842921]
514,[-118.2224894    34.21204154]
515,[-118.18056971   34.18642186]
516,[-118.18650922   34.21215387]
517,[-118.19165139   34.20612054]
518,[-118.22109104   34.22720654]
519,[-118.19101993   34.18984548]
520,[-117.92801819   33.97135581]
521,[-117.94748877   33.97466346]
522,[-117.95277991   33.97370073]
523,[-117.92575678   33.95551892]
524,[-117.9410476    33.95892532]
525,[-117.97024187   33.95812677]
526,[-118.09061667   33.84354248]
527,[-118.0889854   33.834545 ]
528,[-118.07898364   33.83859244]
529,[-118.06272331   33.84247879]
530,[-118.06330141   33.83538476]
531,[-118.11887774   33.86363888]
532,[-118.12851565   33.86483065]
533,[-118.14260237   33.8650293 ]
534,[-118.15217754   33.85473168]
535,[-118.15898723   33.85126615]
536,[-118.133217     33.85368246]
537,[-118.10416457   33.85125686]
538,[-118.12062241   33.85560153]
539,[-118.09928895   33.83974757]
540,[-118.1165193   33.8428293]
541,[-118.1148394   33.8363944]
542,[-118.15273013   33.84006991]
543,[-118.15944525   33.83290988]
544,[-118.16560481   33.85181952]
545,[-118.16421875   33.83901725]
546,[-118.16506293   33.82905721]
547,[-118.01050532   33.92139138]
548,[-118.00173383   33.9146525 ]
549,[-117.99003283   33.91767665]
550,[-117.98652701   33.90849309]
551,[-117.99349745   33.89546035]
552,[-118.00345395   33.89792484]
553,[-118.00701548   33.89066624]
554,[-118.01699408   33.88756079]
555,[-118.01552637   33.9069158 ]
556,[-118.02233715   33.90763426]
557,[-118.03423909   33.90983587]
558,[-117.97465994   34.05443385]
559,[-117.96805261   34.04952872]
560,[-117.98015808   34.05248923]
561,[-117.9725598    34.04877965]
562,[-117.97556981   34.04309031]
563,[-117.95785985   34.03386138]
564,[-117.95340671   34.03946952]
565,[-117.95392683   34.03848   ]
566,[-117.94806975   34.04716242]
567,[-117.94878603   34.03851576]
568,[-117.94513989   34.03052494]
569,[-117.92918768   34.01313615]
570,[-117.94550543   34.02058627]
571,[-118.34789007   33.89891386]
572,[-118.34781868   33.89155403]
573,[-118.35988821   33.89537835]
574,[-118.356179     33.88418955]
575,[-118.35646896   33.87714658]
576,[-118.34750113   33.88219111]
577,[-118.31617542   33.80282603]
578,[-118.31292438   33.79628743]
579,[-118.32302327   33.79791969]
580,[-118.317861     33.78324872]
581,[-118.31324692   33.77670211]
582,[-118.30839736   33.77769455]
583,[-118.21158531   33.83519612]
584,[-118.21483645   33.82761359]
585,[-118.07004431   33.82175646]
586,[-118.15167875   33.86535344]
587,[-118.18173142   33.87942638]
588,[-118.15760638   33.87854056]
589,[-118.15491145   33.87150693]
590,[-118.18837838   33.87407363]
591,[-118.19145359   33.86061189]
592,[-118.19416942   33.85645275]
593,[-118.19834661   33.86932685]
594,[-118.2054884    33.87797909]
595,[-118.19691603   33.87661236]
596,[-118.18020749   33.86985257]
597,[-118.16899855   33.86788116]
598,[-118.18053772   33.85438511]
599,[-118.17130424   33.85575033]
600,[-118.16416167   33.85646965]
601,[-118.13286007   33.84064428]
602,[-118.18521091   33.84061894]
603,[-118.17173464   33.84694627]
604,[-118.169436     33.84123839]
605,[-118.1819779    33.85064607]
606,[-118.20236933   33.84978672]
607,[-118.19147503   33.84867664]
608,[-118.18631823   33.84956689]
609,[-118.20046323   33.83424716]
610,[-118.17661528   33.83169461]
611,[-118.17606349   33.82218472]
612,[-118.19293715   33.82188142]
613,[-118.20100724   33.82299883]
614,[-118.1940942    33.81573708]
615,[-118.19481441   33.80812328]
616,[-118.21845684   33.82127987]
617,[-118.20920977   33.81468864]
618,[-118.21063777   33.8243897 ]
619,[-118.21904209   33.81784091]
620,[-118.21402262   33.80815262]
621,[-118.21264541   33.79960688]
622,[-118.2218724    33.79518398]
623,[-118.21081043   33.79346584]
624,[-118.19137926   33.79327274]
625,[-118.20251388   33.79224642]
626,[-118.19602806   33.79230681]
627,[-118.19738805   33.80092936]
628,[-118.18455684   33.80179952]
629,[-118.18465028   33.79303548]
630,[-118.17633086   33.79408941]
631,[-118.15679833   33.79696556]
632,[-118.13261967   33.82687198]
633,[-118.10860234   33.82738511]
634,[-118.09713387   33.82548546]
635,[-118.07489463   33.81354439]
636,[-118.10004714   33.81470184]
637,[-118.11993022   33.81546168]
638,[-118.129643     33.80334715]
639,[-118.14134011   33.80185906]
640,[-118.11672453   33.80006202]
641,[-118.10177208   33.8019095 ]
642,[-118.09808174   33.78822631]
643,[-118.11455682   33.78148576]
644,[-118.11028871   33.77815153]
645,[-118.11814897   33.77843897]
646,[-118.12678994   33.78455873]
647,[-118.12699492   33.79068433]
648,[-118.13932911   33.79078693]
649,[-118.1481822    33.79383938]
650,[-118.14216908   33.78753892]
651,[-118.163508     33.78897852]
652,[-118.16162724   33.78406724]
653,[-118.15287896   33.7876067 ]
654,[-118.17656246   33.78647954]
655,[-118.17018295   33.78573689]
656,[-118.18512062   33.78589292]
657,[-118.19958751   33.787798  ]
658,[-118.1915672   33.7866101]
659,[-118.21696425   33.78726556]
660,[-118.20215829   33.77849259]
661,[-118.19658914   33.77821807]
662,[-118.19381518   33.77978718]
663,[-118.20174659   33.77250995]
664,[-118.19493179   33.77167432]
665,[-118.19416296   33.76310184]
666,[-118.18596507   33.77227855]
667,[-118.18894752   33.78005281]
668,[-118.18253394   33.77861513]
669,[-118.17829619   33.77894669]
670,[-118.17429829   33.77887953]
671,[-118.16968075   33.77932125]
672,[-118.1786595   33.7717677]
673,[-118.17393052   33.77154948]
674,[-118.16944891   33.77150305]
675,[-118.18076659   33.7643241 ]
676,[-118.17030363   33.76440984]
677,[-118.16136655   33.76340155]
678,[-118.16495372   33.77155203]
679,[-118.15743518   33.77206965]
680,[-118.1641437    33.77922125]
681,[-118.15723828   33.78078244]
682,[-118.15589844   33.77684978]
683,[-118.1387781   33.7787429]
684,[-118.14739616   33.77031642]
685,[-118.14955839   33.76209378]
686,[-118.13825111   33.75759961]
687,[-118.13280698   33.76203744]
688,[-118.12176936   33.75474035]
689,[-118.12433365   33.74988698]
690,[-118.11334529   33.76977953]
691,[-118.12687843   33.76588935]
692,[-118.11129299   33.75486077]
693,[-118.08927024   33.80885798]
694,[-118.10667791   33.76318907]
695,[-118.15842654   33.81318243]
696,[-118.21751426   33.76119008]
697,[-118.29482112   34.26008425]
698,[-118.29409608   34.26960165]
699,[-118.29105503   34.25076337]
700,[-118.27952048   34.25166522]
701,[-118.27287258   34.24626369]
702,[-118.29481986   34.24310354]
703,[-118.35218745   34.22295466]
704,[-118.34600372   34.21764441]
705,[-118.34837861   34.21001963]
706,[-118.32820282   34.24247783]
707,[-118.30693772   34.27414465]
708,[-118.3041223   34.2614321]
709,[-118.34566162   34.27462274]
710,[-118.35250638   34.25887915]
711,[-118.31342584   34.25429406]
712,[-118.39568026   34.28049837]
713,[-118.40139613   34.2772826 ]
714,[-118.39591275   34.27313161]
715,[-118.37408147   34.27905693]
716,[-118.41792893   34.28730513]
717,[-118.40979125   34.27876662]
718,[-118.39614713   34.28963689]
719,[-118.43161169   34.2749061 ]
720,[-118.42282531   34.27408425]
721,[-118.43443215   34.2675382 ]
722,[-118.43634697   34.25986823]
723,[-118.43049487   34.26177988]
724,[-118.424407     34.25384957]
725,[-118.41740367   34.26068478]
726,[-118.42088883   34.25641467]
727,[-118.4168469   34.2665133]
728,[-118.39985811   34.25733473]
729,[-118.40778454   34.26169263]
730,[-118.41007358   34.25128153]
731,[-118.41578122   34.24577011]
732,[-118.41840955   34.24332509]
733,[-118.44574181   34.32570342]
734,[-118.42633798   34.32615889]
735,[-118.40814156   34.31677975]
736,[-118.41029999   34.3086942 ]
737,[-118.42089988   34.30587814]
738,[-118.42787672   34.30396963]
739,[-118.43865163   34.30269006]
740,[-118.44853777   34.31395192]
741,[-118.45682044   34.32488113]
742,[-118.43605667   34.31070678]
743,[-118.4389983   34.3133792]
744,[-118.4902444    34.32215618]
745,[-118.46015076   34.30656318]
746,[-118.51247468   34.30915094]
747,[-118.47476955   34.3046811 ]
748,[-118.50864102   34.29833662]
749,[-118.50931314   34.28985101]
750,[-118.51936895   34.28945631]
751,[-118.49506735   34.28844212]
752,[-118.49536123   34.28202568]
753,[-118.45593483   34.29131371]
754,[-118.45817226   34.28826564]
755,[-118.4445539    34.29989025]
756,[-118.44763262   34.29622456]
757,[-118.54197611   34.28058576]
758,[-118.55507864   34.28130268]
759,[-118.54190007   34.28632933]
760,[-118.54589736   34.29294629]
761,[-118.56233046   34.28553825]
762,[-118.58088262   34.28396412]
763,[-118.46244572   34.27659814]
764,[-118.47719798   34.27630294]
765,[-118.48160056   34.2724625 ]
766,[-118.45639665   34.26956971]
767,[-118.44315005   34.27522591]
768,[-118.44799424   34.26159714]
769,[-118.46481275   34.253502  ]
770,[-118.46253665   34.26272541]
771,[-118.48438148   34.26541926]
772,[-118.48706248   34.25354789]
773,[-118.4912426   34.2677474]
774,[-118.51223755   34.27641308]
775,[-118.51997097   34.26691994]
776,[-118.54918363   34.26508911]
777,[-118.53919618   34.25337168]
778,[-118.53450685   34.26974513]
779,[-118.5220121    34.26204912]
